sentiment,review_body,product_category
0,I tried this blouse on in the store and chose not to purchase it. i did not think the fabric or design warranted the price point as it felt a bit cheap and there's not much to the design. it is true to size - my usual size 4 fit well enough. i'm on the tall side with an average bust and i did not find it short. my friend was shopping with me and she thought it looked maternity on her as she is thin but very well endowed. she also thought it made her shoulders look broad. personally i liked it on,Blouses
0,Ordered this in white  thought would be really cute. but didn't like  and returned it. i am big busted and it was unflattering teh way it draped.,Blouses
0,"Like a previous reviewer  i love white blouses -- nothing better. also love polka dots  so i grabbed this at my retailer store the minute i saw it without even trying it on. quality is good; nice material. maybe a little heavy for summer. but it really didn't work on me. i normally wear a small in tops  however with a 34d chest (5'5"" 122 lbs) i do sometimes get a bit of gapping with blouses at the chest. this does not gap but it just hangs on me. if it was a true peplum and fitted at the waist i t",Blouses
0,This top light and airy  which is perfect for spring. i'm usually into these types of blouses; however  this didn't quite fit right on me. it's a little too boxy and too low cut in the front for some reason. i loved the design and really wanted to like it... i just didn't love it enough to purchase it.,Blouses
0,I really wanted to love this top the material and pattern are lovely but the fit is strange. it looks like a maternity top on me and as another reviewer said it is right across the back but loose at arms and midsection. for the price i returned it.,Blouses
0,...maybe i would've kept this top. i love the print  colors  and design. however  i feel like i had too much of a bosom to wear it. since my bust and torso seemed too large for it  the peplum ruffle bottom lining and top straps did not look good.,Blouses
0,I like this top. in the photo  the white in the print stands out. in-person  the white areas of the print (not embroidery) is dull  more like beige. the flowers and embroidery itself looks good  the print looks good. it is a swing top  looks better on a slender frame. such loose fitting tops just don't look good on my curvy frame. i sized down  could have tried 2 sizes down but the shoulder area was more fitted. i recommend the top for a more slender frame or if you like very loose fitting tops.,Blouses
1,I ordered this shirt to wear with a pair of pants that i had to return - which is one reason the top went back as well. it really is cute and i like the exaggerated key hole in the back. i certainly could have found other things to pair with this top  but it came down to the price. i just didn't think it said $118. hopefully its still around when it goes on sale. its very cute. fits true to size.,Blouses
1,I got m in black with white. it's ok. material is soft and nice. classy. plan to return it since color is not flattering  makes me look old.,Blouses
1,I love this tank! its something you can dress up with a skirt  or wear over jeans. i like loose fitting tops  although i have a slender frame. this is also so comfortable. i went with a size medium  and it fits perfect.,Blouses
1,I love this top. i got it thinking i'd wear it mostly with jeans but turns out i have worn it with a lot more. it pairs great with cut-off shorts  white jeans  denim jeans. i have worn it tucked in with high waisted jeans for a more polished look and also un-tucked for a more casual look. i get lots of compliments on this top when i wear it. i think it could be worn into fall with a jacket over it. very happy with it!,Blouses
1,I loved this top from first sight and finally bought it this week. i am usually a six or a small. the small was so tight on the top that the ruffle rolled up across my chest. i ended up with a medium.,Blouses
1,"This is a pretty top that is conservative enough for the office  with a modest neckline. there is a little hidden snap or button under the bow at the neck so you don't have to keep fussing with the tie the fit is loose in the waist and high at the neck  so the sheer parts are the only thing to give it a little flirtiness. there is a matching camisole underneath that snaps in at the shoulders. overall  i thought it was nice when i tried it at the store  but it didn't have enough extra ""wow"" to ge",Blouses
1,This just arrived and it looks exactly like the photo. very well made  crisp and lovely. not see thru at all which is a plus. a bit overpriced but going to keep it.,Blouses
1,I wasn't immediately attracted to this shirt  but decided to try it on. i loved it on!  it is comfortable and very flattering. i'm a small person  and the length wasn't overbearing on me. it was full  but the stitching around the chest gives it shape and is flattering to a smaller chested person. i'm not sure how it works on a fuller person  but my guess is it may surprise you!,Blouses
1,"I paired this beauty with the beacheress necklace and the result was stunning. the colorway in this top just makes my summer tan pop! i am 5'3""/36b/108 lbs and the xs fit perfectly. since it does run short there is no way that i would suggest anyone go with a petite unless they are under 5' and/or very short waisted! the fabric in the top drapes beautifully and i felt super feminine all evening...and got tons of compliments as well!",Blouses
-1,Beautiful shape and colors but the fabric felt heavier than i imagined. sort of like heavy drapes. also  the length (as others mentioned) was too long. i am not normally a petite but the regular was too long. unfortunately  it has to go back.,Dresses
-1,I bought this dress online and was hoping it would be a great comfortable staple.. it may be the most unflattering piece of clothing i have ever tried on ever! i let my sisters try it on too  to see if they wanted it or liked it better  but it was awful on them as well. i ordered the xs in blue. it was beyond enormous and was just plain and unflattering. i am 5'7' and 115. i love swing dresses i just don't think is cut well.,Dresses
-1,This dress was a disappointment. not black  but brown. and it was very oddly made  with a weird  seam right across the belly. on its way back...,Dresses
-1,Dress is much different in person. thin ribbed cotton.  a little tight for xl.    it looks like a throw back dress from contempos.  returned and would not recommend,Dresses
-1,Based on the other reviews  i sized down from my usual 6p to a 2p  but this dress was still ridiculously huge and extremely unflattering. i could tell the minute i took it out of the package it wouldn't work. i can't imagine this would flatter very many people. the front photo of the model is incredibly deceptive. very disappointed--this will be going back for sure.,Dresses
-1,"I really wanted to love this dress. i bought it for a photoshoot that will be outdoors  and thought that the green color would be perfect. it is well made  but the fabric is lighter than expected. the biggest issues was the size. i am 5'7"" and typically a size ten. i ordered the ten and it fit like a 14-16. it was huge. if you order this  i would say size down two sizes.",Dresses
-1,I've had a lot of misses from retailer lately. i've loved this dress since i first saw it in the spring/summer releases and gave it a try when it went on sale. when it arrived i literally lol. it's an ill fitting nightgown. the size small was a tent on me and it's so flimsy and sheer it probably shouldn't be worn in public. there's a short sheer slip that comes with it but unfortunately doesn't do much. pass  ladies.,Dresses
-1,This dress looks nothing like the photo. the sequins are dull  no sheen at all. the faux leather panels and straps look and feel like cheap  shiny plastic. i didn't even try it on  because it was so hideous  when i pulled it out of the box. not remotely worth the price and wouldn't buy it on sale for $20 either. skip.,Dresses
-1,Love the tegan tunic version of this dress. i assumed since it looked identical except for the length that the sizing was the same but i was wrong. this runs so big! i got a s in the tegan but the s in this dress looked like an oversized potato sack on. i highly recommend ordering at least 2 sizes down unless you want to look tent-y.,Dresses
0,I had such high hopes for this dress and really wanted it to work for me. i initially ordered the petite small (my usual size) but i found this to be outrageously small. so small in fact that i could not zip it up! i reordered it in petite medium  which was just ok. overall  the top half was comfortable and fit nicely  but the bottom half had a very tight under layer and several somewhat cheap (net) over layers. imo  a major design flaw was the net over layer sewn directly into the zipper - it c,Dresses
0,I was really pulling for this dress to work because it's beautiful  however the neckline is cut so extremely low that i had to return. it's much higher on the model than in real life. the petite length was still far too long  so additional hemming required  otherwise fit was true to size (5'3  130 lbs  size 6p),Dresses
0,First of all  the fabric's summery pattern of blossoms  honeybees and butterflies is beautiful and absolutely unique. i love it so much i wish i could afford to keep the dress as an art object. also  with one important exception  the dress is well made. the underslip is the right length and opacity. the dress is not transparent   which is a big plus. there is a slight greenish cast to the background instead of the pure ivory shown  in the pictures. this makes the color a bit harder to wear. and,Dresses
0,I was so excited to get this dress and could tell right away it was beautiful. the fabric and detail are perfect and seem great for summer. then i tried it on ....to say the bust area is tight and not proportioned correctly would be putting it very nicely. it was a total joke. this dress is for very small chested only.,Dresses
0,This dress is the perfect combination of bohemian chic. however  the slip below the dress runs a tad bit small. i have a wide rib cage and normally wear between a 04-06. the dress would have been just perfect if the slip was a bit larger.,Dresses
0,This dress was pretty but had a weird fit. the waist droops down in the middle instead of going straight across  which i found unflattering. i ended up returning it.,Dresses
0,This dress runs a bit small. the large arm holes were unflattering to my small chest. also  this dress seemed to make my belly protrude. it kind of made me look pregnant in a way that no other dress has! i could see this dress being flattering on someone with a very flat stomach or a large chest. not me!!,Dresses
0,I am torn about this dress. the print is very pretty and the fabric has a gentle flow to it. the top part is great but the portion below the chest reminded me of a tent. it is tricky to pull off if you are well-endowed on the top or wear a padded bra. i liked the look better when i tied it at the back with the ultra-thin belt straps which gave some shape to the waist. i agree with the other reviewer that a slim person could carry the look well. i usually don't return online purchases unless they,Dresses
0,I love the colors of the teal dress  but i wish that the top only had one color. the design is cute but the construction is a little off. the transition from the top to the skirt seems to lay wrong or have a bit of extra fabric. sizing up or down didn't help. the top is lined but the bottom is very thin. the bottom should be lined too. not the best.,Dresses
1,Love this dress! it is so comfortable and can be worn as casual or dress up.,Dresses
1,"I adore this dress  but i never would have bought it if i didn't wear it with a belt. as some reviewers have said  it's a sack. the belt takes care of this. it still isn't a slimming dress  but i really don't mind--the elegance and comfort make up for it.    i'm 5'10""  34c  and curvy in the hips  and the medium fit perfectly. i could see this fitting strangely if you were larger in the bust.",Dresses
1,I definitely trend towards preferring my clothes looser as a style but the fit on this dress felt a bit too boxy  i typically run between and x-small and small  should have gone with the x-small. i loved the print and quality of the dress though and would recommend it!,Dresses
1,I loved the look and style of the dress but was unsure how it would work with my body. i'm curvy but slim and usually a size 6 or 8 in retailer. i went with the m in the navy color  and i'm happy i did!   the floral pattern is vibrant and the ruffled skirt is flirty and fun. as far as fit goes  i'd say this runs mostly true to size but is rather short in length. i have a large chest so the top part looked more baggy than blousy  and the skirt portion was just comfortably fitted. however  the cuten,Dresses
1,This dress is amazing! it's perfect for a casual family or friend get together  or a fall dress with boots. the back ties to make it more flattering than just a shift dress. quality of the dress is great  and the material is very versatile.,Dresses
1,Very graceful  long skirt. runs true to size and looks great! this is the kind of dress you will wear all summer long.,Dresses
1,"Definitely a great silhouette. overall  it's just a really classic look that can hang around in your closet for years before it looks dated. that said  it runs small. i often have difficulty with clothing like this since i'm a 4-6 on the top and a 10-12 on the bottom (5'7"" --- 35"" 28"" 41""!!!). my booty is definitely pushing some limits in this dress  but it does fit wearing a 6. shapewear to the rescue. conversely  my shoulders are petite  so the shoulders are a bit large. try this dress on in m",Dresses
1,Dress runs a little small in the arms but flows nicely on the body. see through and comes with slip but slip is stiff and doesn't give. was hard to get on so i wore my own slip. other that that  dress is feminine and looks great on!,Dresses
1,"I am 5'3""  130b  small waist  wide hips. dress fits perfectly  a little longer than i had expected (hits about mid-calf on me). great quality corduroy  nice medium green color. very unique  sort of vintage feel piece.",Dresses
-1,I wanted this sweater to work but sadly it failed. first  the pink was way to sheer for my liking. the sheerness caused a weird color overlap on the stomach area. then the band at the bottom was too tight causing a weird ballooning affect. a shirt underneath could work but it takes away from the beauty of the knit. the soft pink is gorgeous but not good for medium to light skinned folks.,Fine gauge
-1,This has such awful proportions. i'm 5'0 and 100 lbs  ordered xxs petite (in the neutral color). the seam at the bust literally hits in the middle of my bust!! it looks very unflattering  and it's very pronounced. i'm only 5'0 and already the seam hits at such a high point on me. below the seam the sweater is all scrunched up where it's sewed  and it balloons outward and is very square from there down. very shapeless sweater and not flattering at all unless you have your arms by your sides to hi,Fine gauge
-1,This sweater has the weirdest stitching  although the buttons on the sleeves are a nice touch and the hunter green color is to die...poor fit means poor sweater :),Fine gauge
-1,I ordered the orange in size xl. the fit on me matches the model other than being a little shorter in length.  the quality is bad. i ordered two of these sweaters and both arrived  new in the packages  with one having a small hole. the knit is so thin  as is the base material. the arms are basically see-through. it doesn't offer any warmth because of the thinness. i layered a long-sleeved white tee underneath which helped. the edge of the sleeves stretched out within an hour. i also had two area,Fine gauge
-1,I wanted to love this sweater and it has some nice distinctive features that make it more interesting than your average cardigan. unfortunately  however  i found that flared in an unflattering manner over my stomach. the chest fit well - though it was very low cut - but then if i buttoned the sweater it made me look like at least three sizes larger.  the quality seemed okay  but a bit thin and i was afraid that this would not hold up for long.,Fine gauge
-1,Didn't like at all. itchy fabric  looked good on model but on on busty girl.,Fine gauge
-1,And not in a good way. everywhere i went  i left a little of this sweater behind. within hours of having it on  i was picking balls of fabric off the couch  bed  and the sweater itself looked like it was molting. great style  fabric and fit (although a little on the long side ) but there's no way i can keep it.,Fine gauge
-1,I wanted to love this sweater. the lavender color and design with the pleated back was beautiful. however when i put it on  it added at least 20 pounds to my frame. unfortunately it's going back since the cut just doesn't work on my frame.,Fine gauge
-1,The sleeves on this top always caught my eye every single time i was in a store. they never had my size to try on  so when a free shipping offer came up  i ordered the ivory top in a size large. well  the sleeves are indeed stunning  but that is all that is attractive about this top! the rest was a plain  blank  white canvas. in fact  that's what it felt like to wear it -- like i was wearing a tent or an artist's canvas on my chest. yuck! how can this designer put so much thought and care into t,Fine gauge
0,Unfortunately this piece has a very boxy cut and the white layer is stiff and billows out - i am tall and thin but this made me look pregnant - very unflattering. i considered trying a smaller size  but i did not like the material too much either so i just returned it.,Fine gauge
0,Bought this item on sale and was very disappointed in the quality for the cost. fabric feels cheap  like it will snag easily and will stretch out quickly. did not flatter the female form- felt like a burlap sack. gorgeous blue color but not worth the price tag. returned it.,Fine gauge
0,"Like the other reviewers  i agree that this sweater is waaaay shorter than it looks on the model. i think she's wearing a large size and it's probably cinched in the back. still cute  though! i'm 5'9"" 145 and a medium fits well -- looks cute with high-waisted jeans (which i wear anyway).",Fine gauge
0,Looks great on the model  but if you're curvy it looks very frumpy.,Fine gauge
0,Honestly  the sweater is really beautiful...i usually buy a small in retailer tops  and this seemed to run on the smaller side. it&#39;s pretty short  but the issue i have is that the sleeves are much shorter in person than on the models in the pictures. it looks like i&#39;m wearing a 3/4 sleeve shirt. still deciding if i&#39;m going to keep it  because it is really a lovely top.,Fine gauge
0,Very boxy top  not flattering on. i will be returning.,Fine gauge
0,Snags very very easily.  i hadent even gotten to take the tags off and it rubbed against another item and snagged! so disappointed as it is a beautiful top  lovely color and beautifully detailed! i'm so disappointed i was hoping to keep it but will be sending it back.,Fine gauge
0,Was excited about this sweater but it really didn't wow me when i put it on. the v-neck is quite low and the sweater is a bit short. loved the ideas of the fringe but in the end  it went back.,Fine gauge
0,Sooooo soft! not a ton of shape but very versitile and warm!,Fine gauge
1,"Love the fit of this sweater! it almost fits like a sweatshirt and definitely not as long as on the model. it hits me just below the hips( for ref. im 5-3""). im considering getting all the other colors because its so cute and comfortable. could be dressed up or down. runs true to size-im always a small and this fits perfectly roomy.",Fine gauge
1,Love the patterns and the length.  i basically would agree with all the reviewers including the person who noted no pockets.   it's really a special piece and on sale  very worth it!,Fine gauge
1,I've been looking for a wrap cardigan for a while and this totally fit the bill. it fits well  is soft  and made of good materials. i love the versatility of using it with all my dresses. this is a great staple piece.,Fine gauge
1,I love this sweater. hoping to order the other color. the weight of the sweater is perfect  not too heavy. i also really liked how the sweater lays with leggings because it is not bulky. great sleeve length.,Fine gauge
1,"Love  love  love!  this is true retailer! from the style to the mix of sweater types and the ""surprise"" pleats in back!   i wore it for the first time yesterday and received compliments all day!   so glad i bought two colors!",Fine gauge
1,I had to have this when i saw it in a store. i was drawn to the shape and the neutral colors. i wore it for the first time today with a black tank. on me it looks best unbuttoned. it looks good with pants. the small fit best although the arms are a little tight at the upper arms. i have muscles so i don't think i could wear it with any top with sleeves.,Fine gauge
1,Wow great soft feels great but not too clingy. only thing keeping from 5 start is that it will pill some. the sleeves are not fuzzy so they don't pill but body will/does.,Fine gauge
1,"Not sure why this is considered a top--it's an open front cardigan. also the the maker is monogram/hwr  not knitted & knotted. soft knit  inverted pleat at back yoke  slight flare after the armpits  slightly fitted at shoulders but not restrictive. pretty much looks like the picture! hand stitch elements seem to be the random embroidery sprinkled throughout the sweater. colors are dark blue-black  navy blue  gray  blush  ivory and turquoise. i am 5'3"" 135# 36d 38/28/35 and i purchased size mp.",Fine gauge
1,Very cute print! love the mix of the colors on this sweater. looks great with jeans!! throw it on over a tshirt and you are set.,Fine gauge
-1,It seemed to stay in place and did not require constant readjustment. however  i found the band to be extremely small and tight. it is not the most comfortable bra because of the way the band just presses into your skin.,Intimates
-1,Material is strange. triangle top is funky. this is just not awesome in any way.,Intimates
-1,The first time i wore this tank it started pilling around the arms and down the sides. it is terribly quality  and gets worse with every wear and wash. possibly the worst wear on a new clothing item i've ever seen. like the design and fit  immediately relegated it to a weekend/home shirt because it was unprofessionally pilly and the pills are small so can't be shaved off.,Intimates
-1,Fun  sexy underwear but rides up in the front. will return,Intimates
-1,3 tags - one quite huge (about 2'' by 3'') - very itchy. so i cut out the tags and they are sewn with some kind of hard poky plasticy thread - now even more itchy! i will have to wear these inside out.,Intimates
-1,"This nightgown looked so comfy and cute! i ordered a large and it was so uncomfortably tight.i'm 5'3"" and 150lbs. it was such a shame. size large should not just be really a medium!",Intimates
-1,3 tags sewn in  2 small (about 1'' long) and 1 huge (about 2'' x 3''). very itchy so i cut them out. then the thread left behind was plasticy and even more itchy! how can you make an intimates item with such itchy tags? not comfortable at all! also - i love bralettes and wear them all the time including to work. i am a b cup. however  this one is so thin and flimsy that it gives no support even to a b cup - so for me this would only be a lounging bralette - if it wasn't so itchy!,Intimates
-1,You have to be a contortionist to get this bra on. it slips over your head and i needed my 8yo daughter to help me pull it down past my elbows. ridiculously impractical. why oh why didn't heather give it a hook and loop closure instead?,Intimates
-1,This could have been an amazing chemise but it is too short even for bed- perhaps it could be used for a tank. i am 5'3 but do have a long torso. it did not fully cover my booty.,Intimates
0,This is a very nice bra  upset though because this is the second time i have ordered something from retailer and the place that the product was made was incorrect on the website. bra was made in peru and website said usa. makes it very hard to be socially responsible on this website. not sure i will continue to shop retailer in the future because of this.,Intimates
0,I wanted to love this set  but sadly it just didn't fit as i had hoped. the small was bigger than expected and looked frumpy and not sexy. returned.,Intimates
0,When ordering this product  i thought it was strange that the mediums were sold out. i went with the small which is generally what i wear. however  these run small and i see why the medium ran out. they are pretty  however  i wish they made them more true to size.,Intimates
0,I'm a b-cup who hates traditional underwire bras  so i was excited to try this one out. while i appreciate that this bra has more structure and support than other wireless comfy bras  the cups provided too much coverage for my style. if you want to wear a shirt with a wide neck  or do a cute off-the-shoulder thing with your shirt  the top of the cup shows. bummer!,Intimates
0,This is pretty and provides coverage with a bit of support for wearing around the house. i'm a 34b so i ordered the small- it still had room in it so i tightened the straps and used the tightest hooks on the back  and that makes it fit ok. i bought it just to wear at home since i was not expecting a great deal of support or shaping  and while it feels ok it is not super-comfy- it's a bit scratchy around the edges. i was going to buy another color if i loved this  but as it is i will keep the one,Intimates
0,It is a very pretty bra. light weight and beautiful lace. however  i have yet to find a t-back that does not make me feel like i am going to spill out. to me it ran small. i now know to get a 34 instead. i am working on losing weight  perhaps that might help with the fit?,Intimates
0,I'm a 32-a  and i bought a small. i found that the tube portion is pretty tight  but probably needed to keep things up. because there is not a clasp in the front or back  it is really hard to get in and out of. i'd probably be ok with it  but the cups were too big for me. i think i would need to be a c to fill it.  the quality is really nice and the molded cups are a good shape. i wish i could have made it work  because it was really comfortable. i returned it in the end.,Intimates
0,As a petite  big busted woman  i found this dress wildly unflattering. the quality and pattern of the dress itself is beautiful  though it will require a slip as it is completely transparent. the design of the bust however  i found unflattering.,Intimates
0,I love and live in these but the recent scoop tanks i purchased were thin  not as great. so i want to recommend them because they are really versatile but the quality has deminished.,Intimates
1,The bikini bottoms are high quality and feel very luxurious. order one size up. this line runs small. i read the reviews and ordered a medium. i am normally xs/s in underwear but the medium fits me perfectly. i wish i had ordered in other colors before they sold out! trust me you'll want another pair after trying these on.,Intimates
1,This bra is so soft and comfortable i feel like i'm not wearing a bra at all  except i have the gentle support i need. the material is very thin and the pink color is see through  so not recommended under a white or see through shirt. perfect for sleeping or lounging in!,Intimates
1,"I ordered size small. i am 5' 6""  32 b. the fabric is super soft and the fit is great. there's an adorable little quote on the pantie's lining  and the bra has a beautiful print on its inner lining. the feel of the lace and fabric is divine. love it! one more thing to note...there is very little lining in the bra; really nothing more than an extra layer of fabric. it is enough to protect modesty  but not much else.",Intimates
1,This is a tts cami that should be a staple in everyone's closet. great for layering.,Intimates
1,Great style and cut  love the deep v. the fabric is soft and its very comfortable. it gives some support. i don't wear it with light blouses or shirts  unless i'm hanging around the house. i have this is pink and black.,Intimates
1,I guess this is a true to size  i am usually a 30dd and ordered 32d  fits great. the back is really pretty  so even though it is a tiny bit looser  i decided to keep it...,Intimates
1,These are great  the colors are a little different in real life. they are really great but i think they are a bit delicate and i hope they hold up.,Intimates
1,"Super soft comfy underwear. i sized up and they fit perfectly. normally wear xs and bought m for most comfortable fit. they don't ride up. i ended up ordering 5 more pairs. super comfy without being too ""mom"" like.",Intimates
1,I love this bralette. i have it in other colors as well and it is always the one i go to when i want comfort.,Intimates
-1,This fell apart after wearing it once. for the price  it should hold up better. it's too delicate.,Jackets
-1,I have blazers in size 8 from this designer and they fit with room to spare. i understand this is a more fitted style  but it is still way too small. size 10 and size 12 were not much bigger. great colors and cute design  but just too small even if you do not plan on buttoning it. i hope they bring back this jacket but make it true to size.,Jackets
-1,I love the photo of this and because the reviews were so positive i ordered it. i was shocked when i opened the package. first  the fabric is not the silky rayon cotton blend i was expecting. it looks and feels more like a cheap cotton. it does not have the drape or feel or look i expect in a kimono  which brings me to the second disappointment. it is not a kimono at all. it has no kimono sleeve  no sleeves at all in fact. just a slit in the side of the body of the garment you put your arm throu,Jackets
-1,Love the idea of this top  but it is so thin and the sequins look so cheap. the quality reminds me of something you would buy for $20 at a market abroad. definitely disappointed with the quality for the price. will be retuning.,Jackets
-1,This jacket was cute  however  i am normally a large with a bit of room to spare.  this has the irritating issue of not fitting under the arms and across the chest and shoulders.  it is not my shape as most other brands at retailer fit me. this jacket is not sized correctly.,Jackets
-1,This sweater/jacket looks just like the photo in real life  but the inside is so scratchy. i physically recoiled when trying it on as the interior of the sleeves feels like sandpaper. unlined and uncomfortable. no thank you!  should you choose to proceed  i found the fit tts. i'm 5'8  wear an 8/10 and the medium worked for me.,Jackets
-1,Should have listened 2 a previous review! while this is a very well made garment  it really does remind me of a bathrobe  and will be returning :( too bad because the fabric and stripes are really great. also...this runs very large. the extra small was more like a medium.,Jackets
-1,This jacket looks like such the statement piece online with the soft focus lens  but in reality...meh. i think the pattern is gorgeous and would have worked without the studs. and the studs are unique and would have worked on a simple solid color. but put them together and you have the unwanted love child of a laura ashley bag and a marching band jacket. to me  it all felt more cloying than clever.    the quilted fabric and boxy cut of the jacket also makes it unwieldy and uncomfortable. since i,Jackets
-1,I feel in love with this piece. the color are gorgeous and i received so many compliments. it lifted my mood just wearing it! sadly  ut the end of the first wear i had a run up the front and by the middle of the second wear the light fabric got caught on something and a hole developed. upon further inspection i found another hole at the top where the price tag must have been attached. i also noticed all over pilling after the first wear! so sad! they should recreate this in a heavy fabric.,Jackets
0,This blazer is a nice weight for summer. it is more terracotta than rose  but is still a nice color. the fit is tts and flattering. however  the buttons were almost falling off the one i received. i didn't take this as a sign of great quality and plan to return it.,Jackets
0,Ordered this vest in both the xs and pxs. i liked the length and overall fit of the xs  however  i ended up returning both due to how the vest draped. the outer fabric is a bit more stiff which made the vest balloon out more then what i liked. overall  it?s not a terrible vest but just not for me.,Jackets
0,The fabric is beautiful  even the lining is lovely. i ordered the green color in a large  as i'm curvy and have long arms. but it just doesn't lay correctly at all - the collar has no structure  even though it's a lapel  and the side vents just pop out - the jacket added about 10lbs  and just looked frumpy. it looks much more tailored on the model. too bad  as i have been looking for a velvet blazer in the color for a long time.,Jackets
0,Well made but strange fit. the medium was long and narrow  waaay too small.,Jackets
0,I've been looking at this jacket on line and finally went to the store to try it on. i really liked the styling but the denim was quite stiff. i'd prefer a softer kind of fabric. i wonder if it would soften if it was washed. also  it ran surprisingly small. i usually take an xsmall or small but the small didn't leave me enough room to comfortably bend my arms. the medium worked better. i wonder how others feel about the fabric and and the sizing. i think i'll wait and see if this one goes on sal,Jackets
0,I tried this on in the store yesterday and i wanted to buy it very much. the jacket would work well for many sleveless tops or dresses all summer  and would work in an office. but  on me  the unusual cut of the arms emphasized the worst part of my arms (saggy or fat area) in a comical manner. if they tried to design a garmet to make arms look bad  the couldnt have done it better. further  the extra material against the body added bulk at my narrowest point (i am hourglass). again  not flattering,Jackets
0,I'm 5'6''   athletic build-thought it was cute but in the end didn't like the color of the inner sweatshirt--wish it was black or white. send it back.,Jackets
0,"Tried the navy in store. boy does it run big! i'm normally a size 6 / small (ish). 5'6""  34a-28-36. the xs was still quite boxy on me while the sleeves were well fitted. i understand this is the style and i like the design with the different sleeves. it was a no buy as the main fabric was already pilling in store and looked a bit cheap - sorry!",Jackets
0,"This vest looked so cute online. what you can't see however  is the vertical seaming under the arms does not have any fringe (about 3"" wide). that material in the seaming area looked like cheap polyester and it pulled slightly near the side pockets so it didn't lay nicely. also the top of the vest where it comes together also does not lay well and it falls awkwardly open - again showing the cheapy material that it's lined with. fits true to size. i usually wear a s/m in retailer and purchased the",Jackets
1,I've been looking for a more polished edgy alternative to my jean jacket and this is perfect! it's super soft and comfortable. will look awesome over a dress or with jeans. love it!,Jackets
1,I got this in peach  and am not ashamed to say that i wore it almost every day in the past week - over a tee  over a dress  over a tunic...it looks good with everything! my normal size s is on the looser side compared to my other retailer bombers  but i like it for layering purposes. so soft and comfy...i have a feeling i'm going to need a backup of this one!,Jackets
1,Love this jacket. it fits very well and is super comfortable. you can wear it to work or on the weekends. super versatile!,Jackets
1,First saw the jacket online and liked it so i went to the store to check out. the color looks nicer in person.  it fitted me really well and looked really nice on me. the jacket is very soft and well made.  the only thing is the sleeves are a little longer but not a big deal. can't wait to wear it when the full is here!,Jackets
1,I own the green version of this jacket and ordered the ivory as well because of the sale price and because i loved the green one so much. i highly recommend this jacket to wear over dresses  with jeans or skirts all year round!,Jackets
1,I've been eyeing this for months and finally bit the bullet and am so happy i did before it sold out! i love it. i was afraid i couldn't pull it off because i'm 5'3 and very petite  but i don't think it matters. it feels so light and airy and i can't wait to wear it at the pool and the beach as well as over some white tank tops and jean shorts. great piece.,Jackets
1,Unique vest: modern  chic. i especially like the color block one the collar part. i know it will become a staple in my working clothes  and i can also see it blend in to my weekend clothes. i don't think the back of this vest is of bad quality  like another reviewer said. overall it's a hight-quality piece.,Jackets
